target;description
0;"<p><a href=""/dossier/comptables-et-litteratie-financiere"" target=""_blank"">COMPTABLES ET LITT&Eacute;RATIE FINANCI&Egrave;RE.</a>&nbsp;Chaque ann&eacute;e, des CPA de partout au Qu&eacute;bec donnent ..."
0;La science improbable se penche sur des questions décalées et apparemment anodines. Football sur Mars, vitesse de marche de la Mort ou douleurs des avaleurs de sabre : autant de sujets qui proposent un regard différent sur le monde.
0;L'île de Bornéo recèle de nombreux trésors, notamment pour les archéologues et préhistoriens. Une équipe y a ainsi découvert des grottes somptueuses, ornées de peintures rupestres étonnantes représentant de mystérieuses mains.
0;Principalement liée au vieillissement, la cataracte entraîne une baisse progressive de la vue pouvant aller jusqu'à la cécité. En effet, avec les années, le cristallin de l'œil s'épaissit, perd de sa souplesse et s'opacifie. Il est toutefois possible pour les patients de se faire opérer.
0;L’argent est un métal qui peut être natif, mais ce n’est pas dans cette acception-là que l’on entend ce mot en général, mais bien plus souvent comme monnaie. Il a traversé les civilisations et compte comme l’un des premiers métaux connus, ses qualités font qu’il est utilisé dans de nombreux domaines de l’industrie.
0;Il existe un nombre important de potirons, potimarrons, courgettes, etc., ces végétaux faisant tous partie de la grande famille des cucurbitacées. Ils sont en général délicieux à consommer, offrent des qualités médicinales à ne pas négliger. Un bon point pour ces plantes : vous avez intérêt à en consommer régulièrement si vous faites un régime ! Enfin, ils offrent des fruits souvent attrayants à regarder. Mais attention : ce sont des plantes frileuses et qui préfèrent être cultivées au soleil…
0;Non, la Terre n’est pas au centre de l’Univers. Le Soleil non plus. Notre Planète, notre Galaxie sont des anonymes perdus dans l’immensité du cosmos. Découvrez ici quelques notions de cosmologie qui vous permettront de mieux comprendre quelle est notre place dans l’Univers.
0;Les chauves-souris font partie des mammifères placentaires. À la fois mythiques et mystérieuses, objets de peur ou signes de bonheur, les chauves-souris forment un monde que nous allons tenter de parcourir au long de ces quelques pages.
0;"Qu'est-ce que le bonheur ? Comment peut-on y accéder ? La notion de bonheur varie selon les cultures, l'humeur, et il est bien difficile de la définir. Dans ce dossier, nous verrons comment le bonheur influence notre vie ; nous parlerons mariage, argent, travail, amitié…"
0;Pour la soirée d'Halloween, allumez vos citrouilles, et lisez ce dossier afin d'en savoir plus sur les potirons, citrouilles, et autres cucurbitacées.
0;Qu'est-ce qu'une tornade ? De la description phénoménologique aux différentes étapes de formation de ces incroyables tourbillons (courants ascendants, tube dynamique, cisaillements, étirement, convergence) en passant par leur évolution et leur structure, découvrez tout de ce phénomène étonnant dans notre dossier. L'occasion également d'en apprendre plus sur les moyens de détection des tornades comme les dispositifs à effet Doppler.
0;Apprenez à reconnaître les minéraux grâce à leurs propriétés physiques et chimiques. La couleur, la transparence, l’éclat ou la dureté sont des indices essentiels pour identifier les gemmes, du quartz au diamant en passant par les pierres précieuses.
0;La peinture, le dentifrice ou la purée ont parfois des propriétés surprenantes, entre liquide et solide. La rhéophysique étudie les comportements des polymères, des émulsions ou encore des colloïdes, que vous découvrirez dans ce dossier.
0;L'Alsace est située à la frontière occidentale du domaine celtique originel et c'est avant tout grâce à l'archéologie que la connaissance de ce passé de notre province nous est restituée.
0;Le seigle est une graminée, assez rustique, qui fait partie des céréales, dites « à paille ». Les pays du Nord apprécient particulièrement le pain noir de seigle, au point que des AOC se mettent en place pour protéger les recettes traditionnelles. Mais le seigle c’est aussi l’ergot, le LSD et nous ferons le point à ce sujet.
0;Comme tous les autres phénomènes de la vie, le langage est le fruit d’une histoire, liée à l’évolution des espèces sur de longues périodes de temps. Il tire son origine de phénomènes biologiques plus frustes, qui en sont, en quelque sorte, les précurseurs. C’est ce que je voudrais montrer ici, à l’aide de quelques exemples.
0;L'hypertension artérielle est un facteur de risque de développement de maladies cardiovasculaires. Une pression artérielle anormalement élevée sur de longues périodes peut favoriser le durcissement des artères et l'insuffisance cardiaque.
0;Les fruits et légumes font partie intégrante de notre alimentation. Alors que notre consommation est en dessous des recommandations des nutritionnistes, comment peut-on nous redonner l'eau à la bouche, tout en préservant notre environnement ?
0;Après la disparition des dinosaures à la fin du Crétacé, les plus grands mammifères ne dépassaient pas la taille d’un chien. Les premiers animaux terrestres à atteindre une grande taille, à cette époque, furent des oiseaux géants incapables de voler, les gastornithidés.
0;Les météorites sont des roches d'origine extraterrestre. Elles peuvent être toutes petites ou bien peser plusieurs tonnes. Elles diffèrent entre elles par leur nature, dépendant de leur lieu de formation. Certaines sont originaires de la Lune, d'autres proviennent de Mars, ou encore d'astéroïdes, voire de comètes ou de planétoïdes disparus. Toutes ont une histoire fascinante à raconter.
0;Le fabuleux destin de ?2 débute sur la tablette d'argile d'un scribe babylonien. Depuis, ce nombre hors du commun n'a cessé de marquer les esprits, donnant à voir une foule de richesses et de splendeurs mathématiques.
0;Apple said it would soon provide parts, tools and manuals to those who wanted to fix their own iPhones and Mac computers.
0;The list of scarce gadgets is long, driven by a chip shortage. Don’t wait until Black Friday for the best deals.
0;European antitrust regulators said Google gave preferential treatment to its own price-comparison shopping service over rival services.
0;If the apps, alerts and action on your smartphone are taking up too much of your attention, turn on Focus mode to mute the distractions.
0;With long battery life and nice cameras, the new Google devices excel at what popular phones have done for years. Is that enough?
0;Want to change your car’s interior lighting? Alter your boat’s course? Tap your wrist.
0;Buying a $1,000 iPhone can be equivalent to giving up $17,000 in retirement savings or 2,500 cups of coffee.
0;A new streaming platform wants to be a destination for Black audiences around the world.
0;Open up Google Translate or Apple’s Translate and your mobile device turns into your personal language interpreter.
0;In her novel “LaserWriter II,” Tamara Shopsin visits the free-spirited world of Tekserve, a beloved Mac repair shop in 1990s Manhattan.
0;Many virtual private network services that were meant to protect your web browsing can no longer be trusted. Here are other ways.
0;These spyware apps record your conversations, location and everything you type, all while camouflaged as a calculator or calendar.
0;El nuevo lanzamiento de Apple es un diez por ciento más rápido que la versión anterior y las fotos son ligeramente mejores. Nuestro columnista y sus perros nos guían por las novedades.
0;The push to make USB-C connectors standard on all mobile devices would primarily affect Apple, which uses proprietary technology for charging.
0;Before you retire that smartphone or tablet to the bottom of a drawer, there are ways to get more life out of it around the house.
0;The new iPhone is 10 percent faster than the last one, and the photos are slightly better. In a word: Huh.
0;As Apple and Google enact privacy changes, businesses are grappling with the fallout, Madison Avenue is fighting back and Facebook has cried foul.
0;Get ready for more random ads online, higher prices and subscriptions galore. But your privacy concerns may still not fade.
0;Apple said its new iPhone 13 models have better screens, cameras and battery life, but it didn’t announce any major new advances.
0;The company has teamed up with Ray-Ban to create glasses that can take photos, record video, answer phone calls and play podcasts.
1;<p>Des drones sont maintenant utilisés dans les mines souterraines pour participer à des opérations de sauvetage.</p>
0;<p>La police de Lac-Simon demande l'aide de la population pour retrouver un adolescent de 16 ans.</p>
0;<p>L’eau Onibi est puisée dans un esker du canton Laberge, situé à 60 kilomètres au nord de La Sarre.</p>
0;<p>Le Forestier en chef, Louis Pelletier, a annoncé son calcul des possibilités forestières pour 2023-2028.</p>
0;<p>La MRC de Témiscamingue compte 20 des 25 cas actifs dans la région.</p>
0;<p>Les audiences ont pour but de déterminer si sa détention est toujours requise.</p>
0;<p>Pour le moment, plus de 200 personnes se sont inscrites à l'action collective.</p>
0;<p>La Grande guignolée des médias se déroulera le 2 décembre prochain en Abitibi-Témiscamingue, mais la formule sera différente selon les secteurs.</p>
0;<p>Une collision impliquant trois véhicules, dont un autobus scolaire, est survenue ce matin en Abitibi-Ouest.</p>
0;<p>La députée demande au gouvernement du Québec d’octroyer quatre nouvelles cartes de formation.</p>
0;<p>La MRC contribuera avec une somme de 75 000 $ sur trois ans.</p>
0;<p>L’homme de 72 ans a choisi de plaider coupable à quatre chefs d’accusation, mercredi matin, à Val-d’Or.</p>
0;<p>Neige, grésil et pluie verglaçante sont attendus mercredi dans la région.</p>
0;<p>Seuls les centres de la formation professionnelle et les services de garde sont ouverts aux élèves.</p>
0;<p>Il manquerait plus des deux tiers des technologues en radio-oncologie nécessaires pour ouvrir le Centre.</p>
0;"<p>Despite having been around for just 50 years, microprocessors have become the backbone of modern society, and their influence is only expected to increase from here on out. Given its tremendous importance, it’s a good opportunity to reflect upon the 4004, the tiny chip that started it all. The 4004 emerged from a partnership between [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/the-little-chip-that-could-intels-4004-turns-50/465740"">The little chip that could: Intel’s 4004 turns 50</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
1;"<p>Survey by PwC shows executives believe their organizations and supply chains are too complex, posing 'concerning' levels of cyber and privacy risks</p>
The post <a href=""https://www.itworldcanada.com/article/most-organizations-dont-understand-third-party-cyber-risks-survey/465416"">Most organizations don’t understand third party cyber risks: survey</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>Ryerson University has introduced a new course that allows students to focus on a project within one of Ryerson’s Zones - incubator spaces that bring people together to kickstart projects and build startups - either as founders or as partners within an existing team.</p>
The post <a href=""https://www.itworldcanada.com/article/ryerson-launches-new-hands-on-course/464928"">Ryerson launches new, hands-on innovation course</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>Cloudli Communications has launched Cloudli TalkNText, a mobile-first service that equips small businesses with unified voice and business texting capabilities.</p>
The post <a href=""https://www.itworldcanada.com/article/cloudli-launches-communication-app-for-business-texting-and-calling/465343"">Cloudli launches communication app for business texting and calling</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
1;"<p>Today's episode reports on ransomware gangs being rich enough to buying zero-day vulnerabilities, a warning about vulnerable memory chips and the apparent return of Emotet</p>
The post <a href=""https://www.itworldcanada.com/article/cyber-security-today-nov-17-2021-ransomware-gangs-now-buying-zero-day-vulnerabilities-a-warning-about-vulnerable-memory-chips-and-the-emotet-gang-is-back/465503"">Cyber Security Today, Nov. 17, 2021 – Ransomware gangs now buying zero-day vulnerabilities, a warning about vulnerable memory chips and the Emotet gang is back</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>*With files from Jori Negin-Schecter* Amazon fined $500,000 for hiding Covid numbers, homebuyers are prioritizing good internet, and the U.S. Government takes exception to Intel manufacturing in China. That’s all the tech news that’s trending right now, welcome to Hashtag Trending! It’s Wednesday, November 17, and I’m your host, Tom Li. Amazon will be forced [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/hashtag-trending-nov-17-amazon-fined-homebuyers-keen-on-internet-u-s-government-rejects-making-chips-in-china/465640"">Hashtag trending Nov. 17 – Amazon fined; homebuyers keen on internet; U.S. government rejects making chips in China</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
1;"<p>OpenText announces OpenText Zero Initiative at OpenText World 2021 - commits to zero waste, zero barriers, and zero emissions by 2040.</p>
The post <a href=""https://www.itworldcanada.com/article/opentext-to-move-all-its-datacentres-and-datacentre-partners-to-hydroelectric-power-by-2040/465443"">OpenText to move all its datacentres and datacentre partners to hydroelectric power by 2040</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>Coffee Briefings are timely deliveries of the latest ITWC headlines, interviews, and podcasts. Grab a coffee and take five while you nibble on these tidbits.</p>
The post <a href=""https://www.itworldcanada.com/article/coffee-briefing-nov-16-2021-square-marketing-comes-to-canada-alliance-to-increase-academic-diversity-in-canada-initiatives-to-support-canadian-smbs-and-more/465382"">Coffee Briefing, Nov. 16, 2021 – Square Marketing comes to Canada; alliance to increase academic diversity in Canada; initiatives to support Canadian SMBs; and more</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>It took months for researchers to notify Palo Alto Networks of vulnerabilities in VPN portal</p>
The post <a href=""https://www.itworldcanada.com/article/randori-defends-delay-of-months-in-notifying-vendor-of-serious-vulnerabilities/465008"">Randori defends delay of months in notifying vendor of serious vulnerabilities</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
1;"<p>During a cybersecurity panel experts warned complexity in networks only benefits threat actors</p>
The post <a href=""https://www.itworldcanada.com/article/canadian-telecom-summit-complexity-is-the-enemy-of-security-and-the-opportunity-for-cybercrime/465395"">Canadian Telecom Summit: ‘Complexity is the enemy of security and the opportunity for cybercrime’</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
1;"<p>More than half of software developers in Canada are dissatisfied with their current base salary, according to a report by remote-first developer company Commit. </p>
The post <a href=""https://www.itworldcanada.com/article/report-reveals-canadian-software-developers-dissatisfied-with-current-salary/464911"">Report reveals Canadian software developers dissatisfied with current salary</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>Canada’s Liberals are likely to exclude Huawei tech from policy, Epic Games shuts down the Chinese version of Fortnite, and the problem with Twitter Blue. That’s all the tech news that’s trending right now, welcome to Hashtag Trending! It’s Tuesday, November 16, and I’m your host, Tom Li. As the Canadian Liberal government prepares to [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/hashtag-trending-nov-16-liberals-to-take-a-stance-on-huawei-epic-games-shuts-down-fortnite-in-china-twitter-blues-big-problem/465406"">Hashtag trending Nov. 16 – Liberals to take a stance on Huawei; Epic Games shuts down Fortnite in China; Twitter Blue’s big problem</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>Canadian privacy expert can't understand how attackers were allowed access to patient regisrtation and employee data</p>
The post <a href=""https://www.itworldcanada.com/article/cavoukian-on-newfoundland-cyber-attack-its-appalling/465317"">Cavoukian on Newfoundland cyber attack:  ‘It’s appalling’</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>With their iconic yellow colour and rugged design, Canada’s Search and Rescue planes are some of the best known aircraft in the country. Spotting them in the air is easy; understanding the data collaboration platform that keeps them there, and knowing it was created in only six months, are very different matters. “There’s an unseen [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/flight-plan-how-data-keeps-canadas-new-search-and-rescue-planes-in-the-air/465354"">Flight plan: How data keeps Canada’s new search and rescue planes in the air</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
1;"<p>For overwhelmed IT teams, AIOps holds the promise of automatically heading off potential business impacting outages. But some IT leaders are skeptical about whether it can really deliver results. Rodrigo de la Parra, AIOps Domain Leader at IBM Automation, addressed that skepticism at a recent CanadianCIO virtual roundtable. “It’s more than a buzzword,” said de [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/does-artificial-intelligence-for-it-operations-pay-off/465334"">Does artificial intelligence for IT operations pay off?</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>This episode looks at an attack on a Canadian health clinic, a misconfiguration error at the FBI, and more</p>
The post <a href=""https://www.itworldcanada.com/article/cyber-security-today-nov-15-2021-cyberattack-hits-ottawa-medical-clinic-fbi-email-server-hacked-and-a-record-ddos-attack/465312"">Cyber Security Today, Nov. 15, 2021 – Cyberattack hits Ottawa medical clinic, FBI email server hacked, and a record DDoS attack</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>Hackers took control of an FBI email account, Facebook promises to curtail targeted ads criteria, and Patreon is making a YouTube competitor. That’s all the tech news that’s trending right now, welcome to Hashtag Trending! It’s Monday, November 15, and I’m your host, Tom Li. Our first story of the day proves once again that [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/hashtag-trending-nov-15-fbi-external-email-hacked-facebook-tapers-targeted-ads-patreons-video-platform/465322"">Hashtag trending Nov. 15 – FBI external email hacked; Facebook tapers targeted ads; Patreon’s video platform</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>NuEnergy.ai, a Canadian tech company focused on the governance of AI, has launched a platform to support ethical governance and measurement of AI deployments.</p>
The post <a href=""https://www.itworldcanada.com/article/canadian-firm-rcmp-team-to-develop-ai-governance-framework/465128"">Canadian firm, RCMP team to develop AI governance framework</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>In this episode there's a discussion about protecting data from lateral movement by attackers, better awareness training for customer support staff and more</p>
The post <a href=""https://www.itworldcanada.com/article/cyber-security-today-week-in-review-for-friday-nov-12-2021/464935"">Cyber Security Today, Week in Review for Friday, Nov. 12, 2021</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>This hour-long briefing will feature industry leaders discussing ways to prepare for the emerging next normal. Register now!</p>
The post <a href=""https://www.itworldcanada.com/article/hit-the-ground-running-in-the-emerging-next-normal/465132"">Hit the ground running in the emerging next normal</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>This episode reports on ransomware training from a Canadian university for IT and business leaders, the hack of the Aruba Central service, the discovery of a new botnet and security updates released</p>
The post <a href=""https://www.itworldcanada.com/article/cyber-security-today-nov-12-2021-ransomware-training-from-ryerson-aruba-central-compromised-new-botnet-is-discovered-and-more/464972"">Cyber Security Today, Nov. 12, 2021 – Ransomware training from Ryerson, Aruba Central compromised, new botnet is discovered and more</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>YouTube will make the dislike count on videos private, three out of four adults think Facebook makes society worse, and it’s not a very magical week for Disney as the company reports a smaller than forecasted streaming increase for Disney+. It’s all the tech news that’s trending right now, welcome to Hashtag Trending! It’s Friday, [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/hashtag-trending-nov-12-youtube-dislikes-private-facebook-makes-society-worse-lower-than-expected-growth-for-disney/465044"">Hashtag Trending Nov. 12- Youtube dislikes private; Facebook makes society worse; Lower than expected growth for Disney+</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>Dialectica, a European information services startup, has announced the opening of an office in Vancouver and plans to hire 100 people in its new office.</p>
The post <a href=""https://www.itworldcanada.com/article/dialectica-to-open-second-canadian-office-will-create-500-jobs-in-canada-over-3-5-years/464943"">Dialectica to open second Canadian office; will create 500 jobs in Canada over 3 – 5 years</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>With files from Jori Negin-Schecter Google takes a significant loss in European Court, The REvil ransomware takedown is having an impact, and scientists demonstrate something remarkable with a brain implant. It’s all the tech news that’s trending right now, welcome to Hashtag Trending! It’s Thursday, November 11, and I’m your host, Tom Li. A senior [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/hashtag-trending-nov-11-google-antitrust-ruling-revil-takedown-impactful-brain-implant-for-writing/464872"">Hashtag Trending Nov. 11 – Google Antitrust Ruling; REvil takedown impactful; Brain Implant For Writing?</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
1;"<p>With the global pandemic on the wane, the future of the new workplace is uncertain. Employers, faced with what is becoming a “war for talent,” can’t afford to get it wrong. While many employees are eager to return to the social contact and collaborative work environment of the office, many are equally adamant that work [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/empower-your-it-group-to-build-your-post-pandemic-workplace/464766"">Empower your IT group to build your post-pandemic workplace</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>Today's podcast reports on a data theft at the Robinhood trading platform, and cyberattacks on unpatched instances of software from ManageEngine and SolarWinds</p>
The post <a href=""https://www.itworldcanada.com/article/cyber-security-today-nov-10-2021-an-employee-fooled-at-the-robinhood-trading-platform-and-more-firms-hit-by-ignoring-security-updates/464574"">Cyber Security Today, Nov. 10, 2021 – An employee fooled at the Robinhood trading platform, and more firms hit by ignoring security updates</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>The U.S. passes a massive broadband plan, Sony and TSMC are teaming up to build a chip production facility in Japan, and McAfee has gone private, again. It’s all the tech news that’s trending right now, welcome to Hashtag Trending! It’s Wednesday, November 10, and I’m your host, Jori Negin-Shecter. Biden’s “historic” $65 billion broadband [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/hashtag-trending-nov-10-u-s-65-billion-broadband-plan-tsmcs-new-chip-plant-in-japan-mcafee-goes-private-again/464629"">Hashtag Trending Nov 10 – U.S. $65 billion broadband plan; TSMC’s new chip plant in Japan;  McAfee goes private again</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>AWS is opening a second infrastructure region in Canada, the AWS Canada West (Calgary) Region, which is slated to be launched in late 2023/early 2024.</p>
The post <a href=""https://www.itworldcanada.com/article/aws-announces-plans-to-open-infrastructure-region-in-alberta/464498"">AWS announces plans to open infrastructure region in Alberta</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>The RCMP and Calgary police played a role in the investigation leading to the arrest last week in Romania of two people believed to be connected to the Sodinokibi/REvil ransomware operation, joining others arrested earlier this year. The announcement was the second important strike against those involved in REvil this week. On Monday the U.S. [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/canadian-police-played-a-role-in-the-arrest-of-suspects-tied-to-ransomware-gangs/464491"">Canadian police played a role in the arrest of suspects tied to ransomware gangs</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>Newfoundland is now admitting that personal and health information of some patients and hospital staff was accessed by those behind the cyberattack on the province&#8217;s health care IT systems. As a result the government is urging people who have been patients in or worked for two health districts to monitor their bank statements for suspicious [&#8230;]</p>
The post <a href=""https://www.itworldcanada.com/article/newfoundland-attackers-got-personal-data-of-patients-hospital-workers/464555"">Newfoundland attackers got personal data of patients, hospital workers</a> first appeared on <a href=""https://www.itworldcanada.com"">IT World Canada</a>."
0;"<p>Attorney Carrie Cherveny from HUB International explains the recent employer requirements of the OSHA standard on COVID-19 vaccinations.</p>
<p>The post <a rel=""nofollow"" href=""https://www.hrbartender.com/2021/hr-law-legislation/osha-vaccination-standard/"">OSHA Vaccination Standard: Where to Start</a> appeared first on <a rel=""nofollow"" href=""https://www.hrbartender.com"">hr bartender</a>.</p>"
1;"<p>The skills gap continues to challenge talent planning. Upskilling and reskilling needs to be part of an organizational talent strategy.</p>
<p>The post <a rel=""nofollow"" href=""https://www.hrbartender.com/2021/recruiting/talent-strategy-upskilling-reskilling/"">Organizations: Your Talent Strategy Must Include Upskilling and Reskilling</a> appeared first on <a rel=""nofollow"" href=""https://www.hrbartender.com"">hr bartender</a>.</p>"
0;"<p>It's time again for the FREE fall eSymposium for HR and Payroll from UKG. High quality content that offers free professional development.</p>
<p>The post <a rel=""nofollow"" href=""https://www.hrbartender.com/2021/career-development/ukg-esymposium-free-learning/"">UKG HR and Payroll eSymposium: A FREE Professional Learning Event</a> appeared first on <a rel=""nofollow"" href=""https://www.hrbartender.com"">hr bartender</a>.</p>"
1;"<p>Employee retention depends on the employee experience. Consistent performance management can help to set expectations and showcase results.</p>
<p>The post <a rel=""nofollow"" href=""https://www.hrbartender.com/2021/recruiting/performance-management-employee-retention/"">Consistent Performance Management Can Help Employee Retention</a> appeared first on <a rel=""nofollow"" href=""https://www.hrbartender.com"">hr bartender</a>.</p>"
0;"<p>Dan Schawbel joins The HR Bartender Show to share how we need to have a healthy relationship with technology to help make work more human.</p>
<p>The post <a rel=""nofollow"" href=""https://www.hrbartender.com/2021/employee-engagement/dan-schawbel-technology-makes-work-human/"">Talent and Technology [Episode 8]: How Technology Can Make Work More Human</a> appeared first on <a rel=""nofollow"" href=""https://www.hrbartender.com"">hr bartender</a>.</p>"
0;"<p>Quitting should take a lot of careful thought. An employee expresses their frustration with their employer but does not get any reaction.</p>
<p>The post <a rel=""nofollow"" href=""https://www.hrbartender.com/2021/leadership-and-management/quitting-frustration/"">Quitting: How Much Frustration Can You Deal With &#8211; Ask #HR Bartender</a> appeared first on <a rel=""nofollow"" href=""https://www.hrbartender.com"">hr bartender</a>.</p>"
0;"<p>Working parents need strong support from their employer and manager. Here are 5 effective ways managers can show support for working parents.</p>
<p>The post <a rel=""nofollow"" href=""https://www.hrbartender.com/2021/leadership-and-management/5-ways-managers-support-working-parents/"">5 Ways Managers Can Support Working Parents</a> appeared first on <a rel=""nofollow"" href=""https://www.hrbartender.com"">hr bartender</a>.</p>"
0;"<p><strong>Les prix exig&eacute;s des consommateurs am&eacute;ricains ont continu&eacute; &agrave; augmenter le mois dernier, mais &agrave; leur rythme le plus lent depuis f&eacute;vrier, ce qui ..."
0;"<p><strong>Apr&egrave;s des semaines de tergiversations, le S&eacute;nat des &Eacute;tats-Unis a adopt&eacute; mardi un programme bipartisan d&rsquo;infrastructures de 1&nbsp;000 milliards $ US, ..."
0;"<p><strong>L&rsquo;&eacute;conomie am&eacute;ricaine a retrouv&eacute; au deuxi&egrave;me trimestre son niveau d&rsquo;avant-crise, malgr&eacute; une croissance d&eacute;cevante du PIB, tandis que ..."
